period,complete_2021,complete_2122
1,1625.0, 474.0
2,2480.0,2169.0
3,2047.0,1983.0
4,2141.0,1591.0
5,2521.0,1947.0
6,1551.0,1619.0
7,1490.0,1313.0
8,1159.0,1403.0
9,704.0,624.0
10,1144.0,
11,678.0,
12,602.0,
13,253.0,
14,723.0,
15,579.0,
16,730.0,
17,668.0,
18,678.0,
19,623.0,
20,739.0,
21,617.0,
22,341.0,
23,424.0,
24,265.0,
25,127.0,
26,132.0,
27,160.0,
28,136.0,
29,161.0,
30,164.0,
31,214.0,
32,178.0,
33,148.0,
34,154.0,
35,154.0,
36,167.0,
37,159.0,
38,165.0,
39,174.0,
40,274.0,
41,910.0,
42,323.0,
43,282.0,
44,417.0,
45,239.0,
